
해당연도,업소명,소재지,메뉴,데이터기준일자
2021,사형제,제주특별자치도 제주시 한림읍 한림상로 273,횟집,2021-03-01
2021,비욘드더테이블,제주특별자치도 제주시 한경면 녹차분재로 685-21,한식,2021-03-01
2021,산지로,제주특별자치도 제주시 정존15길 27 ,한식,2021-03-01
2021,풍천만가,제주특별자치도 제주시 아연로 40,한식,2021-03-01
2021,산지물신제주점,제주특별자치도 제주시 신대로10길 53 ,한식,2021-03-01
2021,삼다향,제주특별자치도 제주시 일주동로 242 ,식육(숯불구이),2021-03-01
2021,삼대국수회관노형점,제주특별자치도 제주시 노형13길 11,한식,2021-03-01
2021,삼대국수회관신제주점,제주특별자치도 제주시 신대로20길 32 ,한식,2021-03-01
2021,하귀바글바글가든,제주특별자치도 제주시 애월읍 하귀5길 6,한식,2021-03-01
2021,푸주옥오라점,제주특별자치도 제주시 오라로 140 ,한식,2021-03-01
2021,삼미횟집제주공항점,제주특별자치도 제주시 도두항서5길 1 ,횟집,2021-03-01
2021,삼양장원,제주특별자치도 제주시 일주동로 394,한식,2021-03-01
2021,꽃마름삼화점,제주특별자치도 제주시 화삼로 21,한식,2021-03-01
2021,삼춘이야기,제주특별자치도 제주시 우정로12길 1 ,식육(숯불구이),2021-03-01
2021,꽃가마,제주특별자치도 제주시 신산로 97 ,식육(숯불구이),2021-03-01
2021,푸주옥도남점,제주특별자치도 제주시 독짓골4길 4 ,한식,2021-03-01
2021,꽃마름제주이도점,제주특별자치도 제주시 승천로 73,식육(숯불구이),2021-03-01
2021,김용복참치,제주특별자치도 제주시 과원북4길 9 ,일식,2021-03-01
2021,하귀청마루,제주특별자치도 제주시 애월읍 항몽로 71-1,한식,2021-03-01
2021,본가제주연동점,제주특별자치도 제주시 연북로 86 ,한식,2021-03-01
2021,샤브향신제주점,제주특별자치도 제주시 월랑로 30 ,한식,2021-03-01
2021,서부두,제주특별자치도 제주시 임항로 37-2,한식,2021-03-01
2021,김명자굴국밥,제주특별자치도 제주시 연북로 168 ,한식,2021-03-01
2021,서우봉가든,제주특별자치도 제주시 조천읍 함대로 78,기타,2021-03-01
2021,본가제주아라점,제주특별자치도 제주시 간월동로 6,한식,2021-03-01
2021,서울식당,제주특별자치도 제주시 조천읍 함덕13길 5,한식,2021-03-01
2021,서흘포가든,제주특별자치도 제주시 선사로6길 12 ,식육(숯불구이),2021-03-01
2021,푸른밤의해안속초식당,제주특별자치도 제주시 노형로 40,기타,2021-03-01
2021,길림성,제주특별자치도 제주시 남성로 37,중국식,2021-03-01
2021,선명,제주특별자치도 제주시 서해안로 464,횟집,2021-03-01
2021,선장과해녀,제주특별자치도 제주시 조천읍 조함해안로 432-19,기타,2021-03-01
2021,푸라닭신제주점,제주특별자치도 제주시 원노형로 36,호프/통닭,2021-03-01
2021,섬채,제주특별자치도 제주시 오라로 61,뷔페식,2021-03-01
2021,섬횟집,제주특별자치도 제주시 서해안로 242,횟집,2021-03-01
2021,세화그때그집,제주특별자치도 제주시 구좌읍 세평항로 43,한식,2021-03-01
2021,소라,제주특별자치도 제주시 서부두길 18-2,횟집,2021-03-01
2021,남또리,제주특별자치도 제주시 애월읍 애월해안로 384,횟집,2021-03-01
2021,손맛촌,제주특별자치도 제주시 조천읍 비자림로 661,한식,2021-03-01
2021,별오름,제주특별자치도 제주시 1100로 3213-27,뷔페식,2021-03-01
2021,낭뜰에쉼팡,제주특별자치도 제주시 조천읍 남조로 2343,한식,2021-03-01
2021,홋카이도,제주특별자치도 제주시 노연로 42,일식,2021-03-01
2021,낭푼밥상,제주특별자치도 제주시 연동6길 28,기타,2021-03-01
2021,순풍해장국,제주특별자치도 제주시 일주동로 355 ,한식,2021-03-01
2021,숨비소리,제주특별자치도 제주시 서해안로 283 ,횟집,2021-03-01
2021,스시가,제주특별자치도 제주시 중앙로 501,일식,2021-03-01
2021,스시앤,제주특별자치도 제주시 고산동산5길 21-1,일식,2021-03-01
2021,내고향해장국,제주특별자치도 제주시 월랑로4길 14 ,한식,2021-03-01
2021,스푼더마켓제주점,제주특별자치도 제주시 연북로 76,뷔페식,2021-03-01
2021,시청그때그집,제주특별자치도 제주시 동광로1길 11 ,한식,2021-03-01
2021,평대전복,제주특별자치도 제주시 구좌읍 해맞이해안로 1254-2,기타,2021-03-01
2021,하늘채,제주특별자치도 제주시 오등14길 4 ,한식,2021-03-01
2021,신제일,제주특별자치도 제주시 탑동로 39 ,횟집,2021-03-01
2021,신제주그랜드,제주특별자치도 제주시 신대로 70 ,일식,2021-03-01
2021,혼참치,제주특별자치도 제주시 오복4길 3,일식,2021-03-01
2021,신창두루치기,제주특별자치도 제주시 한경면 두신로 74-1,한식,2021-03-01
2021,하르방밀면공항점,제주특별자치도 제주시 공설로 53,한식,2021-03-01
2021,금보,제주특별자치도 제주시 서부두길 14 ,횟집,2021-03-01
2021,노형늘봄,제주특별자치도 제주시 한라대학로 12 ,한식,2021-03-01
2021,밥이보약,제주특별자치도 제주시 도령로 11 ,한식,2021-03-01
2021,씨제이푸드빌(주)빕스연동제주점,제주특별자치도 제주시 연삼로 2 ,경양식,2021-03-01
2021,한라미담우동,제주특별자치도 제주시 광양13길 11 ,식육(숯불구이),2021-03-01
2021,아라캐슬웨딩홀구내,제주특별자치도 제주시 중앙로 504,한식,2021-03-01
2021,파라다이스회관,제주특별자치도 제주시 삼성로 9,한식,2021-03-01
2021,아름,제주특별자치도 제주시 조천읍 교래3길 24,한식,2021-03-01
2021,아사히,제주특별자치도 제주시 과원북4길 85 ,일식,2021-03-01
2021,투망,제주특별자치도 제주시 도두항서길 69-1,횟집,2021-03-01
2021,홍소반,제주특별자치도 제주시 천수로6길 36 ,한식,2021-03-01
2021,통영아귀찜,제주특별자치도 제주시 번영로 535 ,한식,2021-03-01
2021,토끼와거북이,제주특별자치도 제주시 서해안로 498-6,한식,2021-03-01
2021,노형순창,제주특별자치도 제주시 진군3길 1 ,식육(숯불구이),2021-03-01
2021,안다미로,제주특별자치도 제주시 조천읍 비자림로 648,한식,2021-03-01
2021,바르다김선생삼화점,제주특별자치도 제주시 건주로 37,한식,2021-03-01
2021,흑소랑,제주특별자치도 제주시 연북로 631 ,식육(숯불구이),2021-03-01
2021,궁한스샤브샤브신제주점,제주특별자치도 제주시 사장길 38,한식,2021-03-01
2021,바다풍경,제주특별자치도 제주시 서해안로 654 ,횟집,2021-03-01
2021,양푼왕갈비,제주특별자치도 제주시 선덕로 14 ,한식,2021-03-01
2021,어가,제주특별자치도 제주시 1100로 3213-8,일식,2021-03-01
2021,어림향,제주특별자치도 제주시 서사로24길 22,횟집,2021-03-01
2021,어머니와장독대노형점,제주특별자치도 제주시 월광로 77,한식,2021-03-01
2021,군족,제주특별자치도 제주시 동화로 74,한식,2021-03-01
2021,바다잔치,제주특별자치도 제주시 탑동로 79 ,한식,2021-03-01
2021,바다예찬,제주특별자치도 제주시 귀아랑길 26,한식,2021-03-01
2021,어우늘,제주특별자치도 제주시 연북로 222,한식,2021-03-01
2021,어장군,제주특별자치도 제주시 신대로 72 ,한식,2021-03-01
2021,교래손칼국수,제주특별자치도 제주시 조천읍 비자림로 645,한식,2021-03-01
2021,밍떰본점,제주특별자치도 제주시 남광로2길 43-13,기타,2021-03-01
2021,연동신도시식당,제주특별자치도 제주시 국기중길 28,한식,2021-03-01
2021,연미정,제주특별자치도 제주시 구좌읍 세평항로 14,횟집,2021-03-01
2021,연안식당,제주특별자치도 제주시 신대로 169,한식,2021-03-01
2021,연우네,제주특별자치도 제주시 은수길 110 ,한식,2021-03-01
2021,태백산제주본점,제주특별자치도 제주시 도공로 154-12,식육(숯불구이),2021-03-01
2021,연태만,제주특별자치도 제주시 중앙로21길 10,한식,2021-03-01
2021,탑부평,제주특별자치도 제주시 관덕로15길 26 ,식육(숯불구이),2021-03-01
2021,한림바다생태체험마을,제주특별자치도 제주시 한림읍 한림해안로 200,일식,2021-03-01
2021,영주말가든,제주특별자치도 제주시 연북로 196,한식,2021-03-01
2021,광평도새기촌본점,제주특별자치도 제주시 애월읍 구엄동3길 64,식육(숯불구이),2021-03-01
2021,한림일품,제주특별자치도 제주시 한림읍 한림해안로 154,한식,2021-03-01
2021,탑동산호전복,제주특별자치도 제주시 탑동로 59 ,한식,2021-03-01
2021,놀부부대찌개철판구이신제주점,제주특별자치도 제주시 도령로 39,한식,2021-03-01
2021,화남정,제주특별자치도 제주시 노형로 44 ,식육(숯불구이),2021-03-01
2021,미래컨벤션,제주특별자치도 제주시 남성로 75 ,한식,2021-03-01
2021,문동일셰프녹차고을,제주특별자치도 제주시 애월읍 하귀동남4길 13-1,한식,2021-03-01
2021,모이세해장국노형점,제주특별자치도 제주시 월랑로 61,한식,2021-03-01
2021,오름나그네,제주특별자치도 제주시 조천읍 선교로 525,한식,2021-03-01
2021,오리정,제주특별자치도 제주시 수덕3길 4 ,한식,2021-03-01
2021,오사카키친,제주특별자치도 제주시 1100로 3228,일식,2021-03-01
2021,다려도이야기,제주특별자치도 제주시 삼성로 57,한식,2021-03-01
2021,오젠정식,제주특별자치도 제주시 명림로 220,한식,2021-03-01
2021,탐라향,제주특별자치도 제주시 서해안로 346-13,한식,2021-03-01
2021,올래어촌,제주특별자치도 제주시 테우해안로 166 ,횟집,2021-03-01
2021,명태어장제주연동점,제주특별자치도 제주시 선덕로 10,한식,2021-03-01
2021,명태어장,제주특별자치도 제주시 조천읍 함대로 16,한식,2021-03-01
2021,옹포별장가든,제주특별자치도 제주시 한림읍 한림상로 24,한식,2021-03-01
2021,한촌설렁탕삼화점,제주특별자치도 제주시 일주동로 285 ,한식,2021-03-01
2021,외양간,제주특별자치도 제주시 선덕로5길 13 ,한식,2021-03-01
2021,화목원,제주특별자치도 제주시 연화남길 41,한식,2021-03-01
2021,고집돌우럭함덕점,제주특별자치도 제주시 조천읍 신북로 491-9,한식,2021-03-01
2021,명태골제주본점,제주특별자치도 제주시 오남로 11 ,한식,2021-03-01
2021,함덕에이플러스가든,제주특별자치도 제주시 조천읍 함덕12길 51,기타,2021-03-01
2021,우도밥상,제주특별자치도 제주시 우도면 우도해안길 170,한식,2021-03-01
2021,우림,제주특별자치도 제주시 도령로 28-2 ,일식,2021-03-01
2021,명물,제주특별자치도 제주시 탑동로11길 2-1,한식,2021-03-01
2021,명가천지연무태장어,제주특별자치도 제주시 아연로 438-22,한식,2021-03-01
2021,우정횟집,제주특별자치도 제주시 서부두길 16 ,횟집,2021-03-01
2021,명가일식,제주특별자치도 제주시 만덕로6길 34 ,횟집,2021-03-01
2021,맛있는소리,제주특별자치도 제주시 진동로 6,한식,2021-03-01
2021,고기왕,제주특별자치도 제주시 일주서로 7329-3 ,식육(숯불구이),2021-03-01
2021,월라촌,제주특별자치도 제주시 오남로 66 ,한식,2021-03-01
2021,맛도나,제주특별자치도 제주시 연동11길 42,한식,2021-03-01
2021,유리네,제주특별자치도 제주시 연북로 146 ,한식,2021-03-01
2021,말이랑흑도새기랑,제주특별자치도 제주시 주르레길 1 ,식육(숯불구이),2021-03-01
2021,만호,제주특별자치도 제주시 연삼로 497,한식,2021-03-01
2021,화순식당,제주특별자치도 제주시 애월읍 광성로 269,한식,2021-03-01
2021,다원우,제주특별자치도 제주시 우령6길 75-1,식육(숯불구이),2021-03-01
2021,육갑봉,제주특별자치도 제주시 신설로11길 2-9 ,한식,2021-03-01
2021,육장갈비제주본점,제주특별자치도 제주시 승천로 2 ,한식,2021-03-01
2021,강윤구스시야,제주특별자치도 제주시 화삼북로 135,호프/통닭,2021-03-01
2021,은성,제주특별자치도 제주시 동한두기길 35-1 ,횟집,2021-03-01
2021,만옥,제주특별자치도 제주시 중앙로2길 1 ,한식,2021-03-01
2021,강숙수부뚜막,제주특별자치도 제주시 진남로4길 8-9,한식,2021-03-01
2021,은희네해장국노형점,제주특별자치도 제주시 원노형로 40,한식,2021-03-01
2021,큰맘할매순대국제주곽지점,제주특별자치도 제주시 애월읍 곽지1길 3,한식,2021-03-01
2021,만부정,제주특별자치도 제주시 사장길 38 ,복어취급,2021-03-01
2021,이금돈지,제주특별자치도 제주시 노연로 143 ,한식,2021-03-01
2021,이도숯불갈비,제주특별자치도 제주시 구남로6길 23,식육(숯불구이),2021-03-01
2021,화연이네,제주특별자치도 제주시 애월읍 애월해안로 224,한식,2021-03-01
2021,만배성,제주특별자치도 제주시 아연로 484-9,한식,2021-03-01
2021,이돈갓시청점,제주특별자치도 제주시 광양14길 9,경양식,2021-03-01
2021,이만석군횟집,제주특별자치도 제주시 도두항서길 26 ,횟집,2021-03-01
2021,해모둠,제주특별자치도 제주시 청귤로3길 53 ,일식,2021-03-01
2021,이비가짬뽕제주1호이호점,제주특별자치도 제주시 도공로 154-7,중국식,2021-03-01
2021,갑도니,제주특별자치도 제주시 광양14길 14,한식,2021-03-01
2021,루스트플레이스베라체점,제주특별자치도 제주시 승천로 73 ,경양식,2021-03-01
2021,이화원,제주특별자치도 제주시 달마루길 20,중국식,2021-03-01
2021,쿠우쿠우제주시청점,제주특별자치도 제주시 서광로30길 8,뷔페식,2021-03-01
2021,로니로티제주점,제주특별자치도 제주시 고마로 115,경양식,2021-03-01
2021,일등정육식당,제주특별자치도 제주시 한림읍 한림상로 145,한식,2021-03-01
2021,일맥샤브,제주특별자치도 제주시 중앙로14길 40-8 ,식육(숯불구이),2021-03-01
2021,달맞이,제주특별자치도 제주시 신대로6길 13,한식,2021-03-01
2021,일품샤브샤브,제주특별자치도 제주시 동광로 161 ,한식,2021-03-01
2021,래원,제주특별자치도 제주시 과원북4길 3 ,중국식,2021-03-01
2021,드렁몰라도새기샤브마을,제주특별자치도 제주시 달마루길 22,한식,2021-03-01
2021,두끼떡볶이제주노형점,제주특별자치도 제주시 연북로 48,일식,2021-03-01
2021,가영이네횟집,제주특별자치도 제주시 성지로 46-1,횟집,2021-03-01
2021,카페레몬테이블제주노형점,제주특별자치도 제주시 과원북4길 29 ,경양식,2021-03-01
2021,장씨네,제주특별자치도 제주시 서사로 78 ,식육(숯불구이),2021-03-01
2021,장촌한우마을,제주특별자치도 제주시 애월읍 천덕로 440-4,한식,2021-03-01
2021,장춘육당,제주특별자치도 제주시 신대로10길 36,한식,2021-03-01
2021,동이트는집신제주점,제주특별자치도 제주시 연동9길 13 ,한식,2021-03-01
2021,저팔계깡통숯불구이,제주특별자치도 제주시 조천읍 신북로 523,기타,2021-03-01
2021,칠돈가제주공항직영점,제주특별자치도 제주시 신대로 144,기타,2021-03-01
2021,전주콩나루콩나물국밥신제주점,제주특별자치도 제주시 신대로10길 16 ,한식,2021-03-01
2021,동이트는집신산점,제주특별자치도 제주시 신산로 69-1 ,한식,2021-03-01
2021,가마치통닭제주시청점,제주특별자치도 제주시 광양13길 10,한식,2021-03-01
2021,정순화손두부,제주특별자치도 제주시 조천읍 일주동로 1415,한식,2021-03-01
2021,정우말가든,제주특별자치도 제주시 아연로 17 ,한식,2021-03-01
2021,제일식당,제주특별자치도 제주시 추자면 추자로 16-2,한식,2021-03-01
2021,가리본가광양점,제주특별자치도 제주시 서사로19길 42 ,한식,2021-03-01
2021,제주광해애월점,제주특별자치도 제주시 애월읍 애월해안로 867,한식,2021-03-01
2021,대광,제주특별자치도 제주시 중앙로23길 9,식육(숯불구이),2021-03-01
